Word/Phrase,Meaning,Usage in Sentence
Muhalefet,Political crisis,"Muhalefet, demokrasinin işleyişinde kritik bir rol oynar."
İktidar,Bureaucracy,İktidar konusunda yapılan reformlar geniş yankı uyandırdı.
Seçim,Human rights,"Seçim, günümüz siyasetinde bir dönüm noktasıdır."
Koalisyon,Propaganda,"Koalisyon, demokrasinin işleyişinde kritik bir rol oynar."
Halk egemenliği,Parliamentary system,Halk egemenliği kavramı modern siyaset biliminin temelini oluşturur.
Yasama,Freedom,"Yasama perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yürütme,Reform,"Yürütme, günümüz siyasetinde bir dönüm noktasıdır."
Yargı,Sovereignty,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Propaganda,Propaganda,Bir toplumun Propaganda ilkelerine bağlı olması önemlidir.
Bürokrasi,Human rights,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Democracy,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,Parliament,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Political crisis,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,State policy,"Anayasa değişikliği, demokrasinin işleyişinde kritik bir rol oynar."
Parlamento sistemi,Parliament,"Parlamento sistemi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyasi kriz,Popular sovereignty,Siyasi kriz kavramı modern siyaset biliminin temelini oluşturur.
Parti disiplini,Election,Parti disiplini konusunda yapılan reformlar geniş yankı uyandırdı.
Ulusal çıkarlar,Election,"Ulusal çıkarlar, demokrasinin işleyişinde kritik bir rol oynar."
Kamuoyu,Election,"Kamuoyu, demokrasinin işleyişinde kritik bir rol oynar."
Devlet politikası,Executive,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,National security,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Coalition,"Yolsuzluk, demokrasinin işleyişinde kritik bir rol oynar."
Çoğulculuk,Political crisis,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,National interests,"Temsili demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Egemenlik,Sovereignty,"Egemenlik, günümüz siyasetinde bir dönüm noktasıdır."
Bağımsızlık,Public opinion,"Bağımsızlık, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Demokrasi,Corruption,"Demokrasi, günümüz siyasetinde bir dönüm noktasıdır."
Hukukun üstünlüğü,Bureaucracy,Hukukun üstünlüğü konusunda yapılan reformlar geniş yankı uyandırdı.
İnsan hakları,Legislation,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Opposition,Anayasa konusunda yapılan reformlar geniş yankı uyandırdı.
Özgürlük,Rule of law,"Özgürlük, günümüz siyasetinde bir dönüm noktasıdır."
Siyaset,Bureaucracy,"Siyaset, demokrasinin işleyişinde kritik bir rol oynar."
Diplomasi,Bureaucracy,"Diplomasi, günümüz siyasetinde bir dönüm noktasıdır."
Uluslararası ilişkiler,Constitution,Uluslararası ilişkiler üzerine yoğun tartışmalar yaşanmaktadır.
Meclis,Local government,"Meclis, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Reform,Bureaucracy,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,Representative democracy,Bir toplumun Muhalefet ilkelerine bağlı olması önemlidir.
İktidar,Election,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,Freedom,"Seçim, günümüz siyasetinde bir dönüm noktasıdır."
Koalisyon,National security,Koalisyon kavramı modern siyaset biliminin temelini oluşturur.
Halk egemenliği,Propaganda,Halk egemenliği konusunda yapılan reformlar geniş yankı uyandırdı.
Yasama,Public opinion,Yasama kavramı modern siyaset biliminin temelini oluşturur.
Yürütme,Reform,Yürütme kavramı modern siyaset biliminin temelini oluşturur.
Yargı,National security,"Yargı, demokrasinin işleyişinde kritik bir rol oynar."
Propaganda,Bureaucracy,"Propaganda, demokrasinin işleyişinde kritik bir rol oynar."
Bürokrasi,Economic policy,Bürokrasi üzerine yoğun tartışmalar yaşanmaktadır.
Ekonomi politikası,Democracy,"Ekonomi politikası, demokrasinin işleyişinde kritik bir rol oynar."
Yerel yönetim,Judiciary,"Yerel yönetim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal güvenlik,Executive,"Ulusal güvenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa değişikliği,Public opinion,"Anayasa değişikliği, demokrasinin işleyişinde kritik bir rol oynar."
Parlamento sistemi,Local government,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,Constitutional amendment,"Siyasi kriz perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parti disiplini,Independence,Parti disiplini kavramı modern siyaset biliminin temelini oluşturur.
Ulusal çıkarlar,Bureaucracy,Bir toplumun Ulusal çıkarlar ilkelerine bağlı olması önemlidir.
Kamuoyu,National interests,"Kamuoyu, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Devlet politikası,Democracy,Devlet politikası kavramı modern siyaset biliminin temelini oluşturur.
Sivil toplum,International relations,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,Political crisis,Yolsuzluk kavramı modern siyaset biliminin temelini oluşturur.
Çoğulculuk,Constitutional amendment,"Çoğulculuk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Temsili demokrasi,Election,Bir toplumun Temsili demokrasi ilkelerine bağlı olması önemlidir.
Egemenlik,Popular sovereignty,Egemenlik üzerine yoğun tartışmalar yaşanmaktadır.
Bağımsızlık,Party discipline,Bağımsızlık üzerine yoğun tartışmalar yaşanmaktadır.
Demokrasi,Civil society,Demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Hukukun üstünlüğü,Judiciary,"Hukukun üstünlüğü perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
İnsan hakları,Corruption,İnsan hakları kavramı modern siyaset biliminin temelini oluşturur.
Anayasa,Reform,"Anayasa perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Özgürlük,Legislation,"Özgürlük perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyaset,State policy,"Siyaset perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Diplomasi,Independence,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Opposition,"Uluslararası ilişkiler perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Meclis,Freedom,Meclis kavramı modern siyaset biliminin temelini oluşturur.
Reform,Reform,"Reform perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Muhalefet,Public opinion,"Muhalefet, demokrasinin işleyişinde kritik bir rol oynar."
İktidar,Sovereignty,"İktidar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Seçim,Opposition,Bir toplumun Seçim ilkelerine bağlı olması önemlidir.
Koalisyon,Popular sovereignty,"Koalisyon, demokrasinin işleyişinde kritik bir rol oynar."
Halk egemenliği,International relations,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,Legislation,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,Rule of law,"Yürütme, demokrasinin işleyişinde kritik bir rol oynar."
Yargı,Sovereignty,"Yargı, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Propaganda,National interests,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,Parliament,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Politics,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,Popular sovereignty,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,Economic policy,Ulusal güvenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Anayasa değişikliği,Election,Bir toplumun Anayasa değişikliği ilkelerine bağlı olması önemlidir.
Parlamento sistemi,Democracy,"Parlamento sistemi, günümüz siyasetinde bir dönüm noktasıdır."
Siyasi kriz,Freedom,"Siyasi kriz, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parti disiplini,Party discipline,Bir toplumun Parti disiplini ilkelerine bağlı olması önemlidir.
Ulusal çıkarlar,Political crisis,Bir toplumun Ulusal çıkarlar ilkelerine bağlı olması önemlidir.
Kamuoyu,Local government,"Kamuoyu, günümüz siyasetinde bir dönüm noktasıdır."
Devlet politikası,Bureaucracy,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,State policy,Sivil toplum üzerine yoğun tartışmalar yaşanmaktadır.
Yolsuzluk,Opposition,"Yolsuzluk, günümüz siyasetinde bir dönüm noktasıdır."
Çoğulculuk,Reform,Çoğulculuk üzerine yoğun tartışmalar yaşanmaktadır.
Temsili demokrasi,Election,Bir toplumun Temsili demokrasi ilkelerine bağlı olması önemlidir.
Egemenlik,Freedom,"Egemenlik, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bağımsızlık,Public opinion,"Bağımsızlık, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Demokrasi,Coalition,"Demokrasi, demokrasinin işleyişinde kritik bir rol oynar."
Hukukun üstünlüğü,Local government,Hukukun üstünlüğü üzerine yoğun tartışmalar yaşanmaktadır.
İnsan hakları,Coalition,"İnsan hakları, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa,Judiciary,"Anayasa perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Özgürlük,Constitution,"Özgürlük, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyaset,Popular sovereignty,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Judiciary,Diplomasi kavramı modern siyaset biliminin temelini oluşturur.
Uluslararası ilişkiler,Local government,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Political crisis,"Meclis perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Reform,Public opinion,"Reform, günümüz siyasetinde bir dönüm noktasıdır."
Muhalefet,Executive,Bir toplumun Muhalefet ilkelerine bağlı olması önemlidir.
İktidar,Civil society,"İktidar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Seçim,Reform,"Seçim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Koalisyon,Freedom,Bir toplumun Koalisyon ilkelerine bağlı olması önemlidir.
Halk egemenliği,Democracy,"Halk egemenliği, günümüz siyasetinde bir dönüm noktasıdır."
Yasama,Parliament,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,International relations,Yürütme kavramı modern siyaset biliminin temelini oluşturur.
Yargı,Politics,"Yargı perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Propaganda,Ruling party,"Propaganda, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bürokrasi,Popular sovereignty,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Local government,Ekonomi politikası üzerine yoğun tartışmalar yaşanmaktadır.
Yerel yönetim,Pluralism,Yerel yönetim kavramı modern siyaset biliminin temelini oluşturur.
Ulusal güvenlik,Economic policy,"Ulusal güvenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa değişikliği,Bureaucracy,Anayasa değişikliği üzerine yoğun tartışmalar yaşanmaktadır.
Parlamento sistemi,Parliamentary system,"Parlamento sistemi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyasi kriz,Freedom,Bir toplumun Siyasi kriz ilkelerine bağlı olması önemlidir.
Parti disiplini,Diplomacy,Parti disiplini üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal çıkarlar,Legislation,Ulusal çıkarlar kavramı modern siyaset biliminin temelini oluşturur.
Kamuoyu,Human rights,"Kamuoyu perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Devlet politikası,State policy,"Devlet politikası, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Sivil toplum,National interests,"Sivil toplum, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yolsuzluk,Bureaucracy,Yolsuzluk konusunda yapılan reformlar geniş yankı uyandırdı.
Çoğulculuk,Representative democracy,"Çoğulculuk, demokrasinin işleyişinde kritik bir rol oynar."
Temsili demokrasi,Reform,Temsili demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Egemenlik,National security,Egemenlik üzerine yoğun tartışmalar yaşanmaktadır.
Bağımsızlık,Human rights,"Bağımsızlık, günümüz siyasetinde bir dönüm noktasıdır."
Demokrasi,Bureaucracy,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,State policy,"Hukukun üstünlüğü, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
İnsan hakları,Representative democracy,İnsan hakları üzerine yoğun tartışmalar yaşanmaktadır.
Anayasa,Public opinion,"Anayasa, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Özgürlük,Local government,"Özgürlük, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyaset,Sovereignty,Siyaset konusunda yapılan reformlar geniş yankı uyandırdı.
Diplomasi,Rule of law,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Bureaucracy,Uluslararası ilişkiler kavramı modern siyaset biliminin temelini oluşturur.
Meclis,Political crisis,Meclis konusunda yapılan reformlar geniş yankı uyandırdı.
Reform,Civil society,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,Pluralism,Bir toplumun Muhalefet ilkelerine bağlı olması önemlidir.
İktidar,National interests,"İktidar, demokrasinin işleyişinde kritik bir rol oynar."
Seçim,Constitutional amendment,Seçim kavramı modern siyaset biliminin temelini oluşturur.
Koalisyon,Political crisis,"Koalisyon, demokrasinin işleyişinde kritik bir rol oynar."
Halk egemenliği,Political crisis,"Halk egemenliği, demokrasinin işleyişinde kritik bir rol oynar."
Yasama,Political crisis,"Yasama, günümüz siyasetinde bir dönüm noktasıdır."
Yürütme,Human rights,Yürütme konusunda yapılan reformlar geniş yankı uyandırdı.
Yargı,Party discipline,Yargı konusunda yapılan reformlar geniş yankı uyandırdı.
Propaganda,Political crisis,"Propaganda, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Bürokrasi,Corruption,"Bürokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ekonomi politikası,Public opinion,"Ekonomi politikası, demokrasinin işleyişinde kritik bir rol oynar."
Yerel yönetim,Politics,"Yerel yönetim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal güvenlik,State policy,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,National interests,"Anayasa değişikliği, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Parlamento sistemi,Representative democracy,Parlamento sistemi kavramı modern siyaset biliminin temelini oluşturur.
Siyasi kriz,Ruling party,Bir toplumun Siyasi kriz ilkelerine bağlı olması önemlidir.
Parti disiplini,Diplomacy,Parti disiplini kavramı modern siyaset biliminin temelini oluşturur.
Ulusal çıkarlar,Constitution,Ulusal çıkarlar üzerine yoğun tartışmalar yaşanmaktadır.
Kamuoyu,Representative democracy,"Kamuoyu perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Devlet politikası,Legislation,"Devlet politikası, günümüz siyasetinde bir dönüm noktasıdır."
Sivil toplum,Opposition,"Sivil toplum, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yolsuzluk,Parliamentary system,"Yolsuzluk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Çoğulculuk,Diplomacy,"Çoğulculuk, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Temsili demokrasi,Propaganda,Temsili demokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Egemenlik,Economic policy,"Egemenlik, demokrasinin işleyişinde kritik bir rol oynar."
Bağımsızlık,Political crisis,"Bağımsızlık, günümüz siyasetinde bir dönüm noktasıdır."
Demokrasi,Representative democracy,Demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Hukukun üstünlüğü,Constitutional amendment,Bir toplumun Hukukun üstünlüğü ilkelerine bağlı olması önemlidir.
İnsan hakları,Propaganda,İnsan hakları konusunda yapılan reformlar geniş yankı uyandırdı.
Anayasa,Pluralism,"Anayasa, günümüz siyasetinde bir dönüm noktasıdır."
Özgürlük,Legislation,"Özgürlük, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Siyaset,Coalition,Siyaset üzerine yoğun tartışmalar yaşanmaktadır.
Diplomasi,Local government,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Popular sovereignty,"Uluslararası ilişkiler perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Meclis,Local government,"Meclis, günümüz siyasetinde bir dönüm noktasıdır."
Reform,Diplomacy,"Reform, demokrasinin işleyişinde kritik bir rol oynar."
Muhalefet,Judiciary,Muhalefet konusunda yapılan reformlar geniş yankı uyandırdı.
İktidar,Politics,"İktidar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Seçim,State policy,"Seçim, günümüz siyasetinde bir dönüm noktasıdır."
Koalisyon,Corruption,"Koalisyon, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Halk egemenliği,Freedom,Halk egemenliği kavramı modern siyaset biliminin temelini oluşturur.
Yasama,Diplomacy,"Yasama, demokrasinin işleyişinde kritik bir rol oynar."
Yürütme,Opposition,"Yürütme, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Yargı,Corruption,"Yargı, günümüz siyasetinde bir dönüm noktasıdır."
Propaganda,State policy,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,Propaganda,"Bürokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ekonomi politikası,Party discipline,Bir toplumun Ekonomi politikası ilkelerine bağlı olması önemlidir.
Yerel yönetim,Diplomacy,"Yerel yönetim, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Ulusal güvenlik,Opposition,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,Opposition,Anayasa değişikliği konusunda yapılan reformlar geniş yankı uyandırdı.
Parlamento sistemi,Party discipline,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,Judiciary,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,National interests,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Executive,"Ulusal çıkarlar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Kamuoyu,National security,Kamuoyu kavramı modern siyaset biliminin temelini oluşturur.
Devlet politikası,Pluralism,Devlet politikası kavramı modern siyaset biliminin temelini oluşturur.
Sivil toplum,Civil society,"Sivil toplum, günümüz siyasetinde bir dönüm noktasıdır."
Yolsuzluk,Judiciary,"Yolsuzluk, demokrasinin işleyişinde kritik bir rol oynar."
Çoğulculuk,Politics,"Çoğulculuk, demokrasinin işleyişinde kritik bir rol oynar."
Temsili demokrasi,Pluralism,Temsili demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Egemenlik,State policy,Egemenlik üzerine yoğun tartışmalar yaşanmaktadır.
Bağımsızlık,Public opinion,"Bağımsızlık, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Demokrasi,National interests,"Demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Hukukun üstünlüğü,Constitution,Bir toplumun Hukukun üstünlüğü ilkelerine bağlı olması önemlidir.
İnsan hakları,Ruling party,"İnsan hakları, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Anayasa,Election,"Anayasa, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Özgürlük,Propaganda,"Özgürlük perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Siyaset,Corruption,"Siyaset, günümüz siyasetinde bir dönüm noktasıdır."
Diplomasi,Representative democracy,"Diplomasi, demokrasinin işleyişinde kritik bir rol oynar."
Uluslararası ilişkiler,Ruling party,"Uluslararası ilişkiler, günümüz siyasetinde bir dönüm noktasıdır."
Meclis,Politics,Meclis konusunda yapılan reformlar geniş yankı uyandırdı.
Reform,Human rights,Reform konusunda yapılan reformlar geniş yankı uyandırdı.
Muhalefet,Party discipline,Muhalefet kavramı modern siyaset biliminin temelini oluşturur.
İktidar,Executive,"İktidar, günümüz siyasetinde bir dönüm noktasıdır."
Seçim,International relations,Seçim kavramı modern siyaset biliminin temelini oluşturur.
Koalisyon,Sovereignty,"Koalisyon, demokrasinin işleyişinde kritik bir rol oynar."
Halk egemenliği,Opposition,"Halk egemenliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yasama,Economic policy,Yasama konusunda yapılan reformlar geniş yankı uyandırdı.
Yürütme,Legislation,"Yürütme perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yargı,Corruption,Yargı konusunda yapılan reformlar geniş yankı uyandırdı.
Propaganda,Executive,"Propaganda, günümüz siyasetinde bir dönüm noktasıdır."
Bürokrasi,National security,Bürokrasi kavramı modern siyaset biliminin temelini oluşturur.
Ekonomi politikası,Corruption,Ekonomi politikası konusunda yapılan reformlar geniş yankı uyandırdı.
Yerel yönetim,Party discipline,Yerel yönetim üzerine yoğun tartışmalar yaşanmaktadır.
Ulusal güvenlik,International relations,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,Parliamentary system,"Anayasa değişikliği, günümüz siyasetinde bir dönüm noktasıdır."
Parlamento sistemi,Ruling party,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,International relations,Siyasi kriz konusunda yapılan reformlar geniş yankı uyandırdı.
Parti disiplini,Independence,"Parti disiplini, günümüz siyasetinde bir dönüm noktasıdır."
Ulusal çıkarlar,Ruling party,"Ulusal çıkarlar perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Kamuoyu,Party discipline,Kamuoyu konusunda yapılan reformlar geniş yankı uyandırdı.
Devlet politikası,Pluralism,"Devlet politikası, demokrasinin işleyişinde kritik bir rol oynar."
Sivil toplum,National security,Sivil toplum kavramı modern siyaset biliminin temelini oluşturur.
Yolsuzluk,Constitutional amendment,"Yolsuzluk, demokrasinin işleyişinde kritik bir rol oynar."
Çoğulculuk,Constitution,Bir toplumun Çoğulculuk ilkelerine bağlı olması önemlidir.
Temsili demokrasi,Executive,"Temsili demokrasi perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Egemenlik,State policy,"Egemenlik perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Bağımsızlık,Constitutional amendment,Bağımsızlık konusunda yapılan reformlar geniş yankı uyandırdı.
Demokrasi,International relations,"Demokrasi, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Hukukun üstünlüğü,Pluralism,"Hukukun üstünlüğü, günümüz siyasetinde bir dönüm noktasıdır."
İnsan hakları,Constitutional amendment,Bir toplumun İnsan hakları ilkelerine bağlı olması önemlidir.
Anayasa,Ruling party,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Party discipline,Özgürlük kavramı modern siyaset biliminin temelini oluşturur.
Siyaset,Politics,Siyaset kavramı modern siyaset biliminin temelini oluşturur.
Diplomasi,Coalition,Bir toplumun Diplomasi ilkelerine bağlı olması önemlidir.
Uluslararası ilişkiler,Freedom,Bir toplumun Uluslararası ilişkiler ilkelerine bağlı olması önemlidir.
Meclis,National security,"Meclis perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Reform,Civil society,"Reform perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Muhalefet,Sovereignty,Bir toplumun Muhalefet ilkelerine bağlı olması önemlidir.
İktidar,Independence,"İktidar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Seçim,National security,"Seçim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Koalisyon,Public opinion,"Koalisyon, demokrasinin işleyişinde kritik bir rol oynar."
Halk egemenliği,Parliament,Bir toplumun Halk egemenliği ilkelerine bağlı olması önemlidir.
Yasama,Bureaucracy,Bir toplumun Yasama ilkelerine bağlı olması önemlidir.
Yürütme,Election,Yürütme kavramı modern siyaset biliminin temelini oluşturur.
Yargı,Opposition,Yargı kavramı modern siyaset biliminin temelini oluşturur.
Propaganda,Executive,Propaganda kavramı modern siyaset biliminin temelini oluşturur.
Bürokrasi,Freedom,Bir toplumun Bürokrasi ilkelerine bağlı olması önemlidir.
Ekonomi politikası,State policy,"Ekonomi politikası, günümüz siyasetinde bir dönüm noktasıdır."
Yerel yönetim,International relations,"Yerel yönetim perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Ulusal güvenlik,Political crisis,"Ulusal güvenlik, günümüz siyasetinde bir dönüm noktasıdır."
Anayasa değişikliği,Executive,"Anayasa değişikliği perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Parlamento sistemi,Ruling party,Bir toplumun Parlamento sistemi ilkelerine bağlı olması önemlidir.
Siyasi kriz,Politics,"Siyasi kriz, günümüz siyasetinde bir dönüm noktasıdır."
Parti disiplini,Parliamentary system,Bir toplumun Parti disiplini ilkelerine bağlı olması önemlidir.
Ulusal çıkarlar,Democracy,"Ulusal çıkarlar, günümüz siyasetinde bir dönüm noktasıdır."
Kamuoyu,Parliament,Kamuoyu üzerine yoğun tartışmalar yaşanmaktadır.
Devlet politikası,Party discipline,Bir toplumun Devlet politikası ilkelerine bağlı olması önemlidir.
Sivil toplum,Human rights,"Sivil toplum perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Yolsuzluk,Democracy,Bir toplumun Yolsuzluk ilkelerine bağlı olması önemlidir.
Çoğulculuk,Freedom,"Çoğulculuk, günümüz siyasetinde bir dönüm noktasıdır."
Temsili demokrasi,Representative democracy,Temsili demokrasi kavramı modern siyaset biliminin temelini oluşturur.
Egemenlik,Reform,Egemenlik konusunda yapılan reformlar geniş yankı uyandırdı.
Bağımsızlık,Legislation,Bağımsızlık kavramı modern siyaset biliminin temelini oluşturur.
Demokrasi,Legislation,Demokrasi konusunda yapılan reformlar geniş yankı uyandırdı.
Hukukun üstünlüğü,Public opinion,"Hukukun üstünlüğü, demokrasinin işleyişinde kritik bir rol oynar."
İnsan hakları,Parliamentary system,"İnsan hakları perspektifinden bakıldığında, farklı görüşler ortaya çıkmaktadır."
Anayasa,State policy,Anayasa üzerine yoğun tartışmalar yaşanmaktadır.
Özgürlük,Constitutional amendment,Özgürlük konusunda yapılan reformlar geniş yankı uyandırdı.
Siyaset,Judiciary,"Siyaset, demokrasinin işleyişinde kritik bir rol oynar."
Diplomasi,Constitution,Diplomasi kavramı modern siyaset biliminin temelini oluşturur.
Uluslararası ilişkiler,Civil society,"Uluslararası ilişkiler, demokrasinin işleyişinde kritik bir rol oynar."
Meclis,National interests,"Meclis, günümüz siyasetinde bir dönüm noktasıdır."
Reform,Party discipline,"Reform, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Muhalefet,National interests,Muhalefet kavramı modern siyaset biliminin temelini oluşturur.
İktidar,Legislation,"İktidar, ulusal ve uluslararası politikalarda sıklıkla tartışılır."
Seçim,Human rights,Seçim üzerine yoğun tartışmalar yaşanmaktadır.
